RMSE,MAE,MAPE,Model,Column
1525565.57005878,1332972.3379596868,2.8837916530085272,linear_regression,All aged 16 & over level
1038290.5891588908,865646.9265057258,2.9777916288975157,linear_regression,Total economically active level
1269780.4037039825,1037205.3763931093,3.9002428926680146,linear_regression,Total in employment level
638905.3633738892,550733.1108943428,30.99669537361513,linear_regression,Unemployed level
559927.5107363209,497035.2428486904,2.914697221895126,linear_regression,Economically inactive level
0.5039984741372368,0.37197388398498216,0.5892684823551559,linear_regression,Economic activity rate
1.6195964633151196,1.3113315437043307,2.2568805549608015,linear_regression,Employment rate
2.281860342525992,1.8942401805615021,29.703448687909788,linear_regression,Unemployment rate
0.5039984741372368,0.37197388398498255,1.009527065740715,linear_regression,Economic inactivity rate
1490571.040260303,1395568.7623154055,2.9549385943808697,prophet,All aged 16 & over level
1024435.7093584015,947918.7549469334,3.2013971193296444,prophet,Total economically active level
1307213.7285622181,1148517.086064148,4.167214570831625,prophet,Total in employment level
625187.8501599956,531726.8660093665,31.376260891157305,prophet,Unemployed level
624332.1643100643,572296.2539203083,3.3179232273292767,prophet,Economically inactive level
0.7564800540930093,0.5385658152051664,0.8524416238561819,prophet,Economic activity rate
2.058929172949214,1.6927477714051313,2.9013524580089745,prophet,Employment rate
2.160855282992768,1.8106450581213056,29.98866983849578,prophet,Unemployment rate
0.7487463937350759,0.5313320727784394,1.4439958964679729,prophet,Economic inactivity rate
1492225.7088095641,1394132.6218170922,2.9523227362491946,arima,All aged 16 & over level
985542.6323918198,881260.6854243968,3.001768867021222,arima,Total economically active level
1282483.58610307,1062871.867956007,3.9071374766008344,arima,Total in employment level
761742.1800268453,621887.6159979205,33.80959584241364,arima,Unemployed level
637832.3727098302,567674.3850022906,3.2967761392542996,arima,Economically inactive level
0.8008013874755355,0.5954368532986226,0.942073375393309,arima,Economic activity rate
2.1468090218945597,1.8019164046500458,3.083582459997271,arima,Employment rate
2.6771330237686497,2.1703377675287663,33.27004355111766,arima,Unemployment rate
0.7999937493640538,0.5916033955598105,1.609112458355223,arima,Economic inactivity rate
1484816.347252215,1386948.530042998,2.9382612206903924,sarima,All aged 16 & over level
828069.0654056766,741987.4087694682,2.524951969057331,sarima,Total economically active level
1130107.082250964,933172.446329697,3.441869530713041,sarima,Total in employment level
762318.3216105613,622262.8185033377,33.81015927662596,sarima,Unemployed level
537657.8608539124,469150.5901599863,2.7333593833729806,sarima,Economically inactive level
0.8428012936431706,0.6412425970726634,1.014481530597264,sarima,Economic activity rate
2.1429711397621984,1.7705145361607841,3.031836535213096,sarima,Employment rate
2.706121181656639,2.2355533226800164,34.764112396700156,sarima,Unemployment rate
0.8427524036082432,0.6422974385336739,1.7469215698352965,sarima,Economic inactivity rate
1533785.2129130897,1429665.6748204082,3.017754545257251,holt_winters,All aged 16 & over level
1001797.5736419283,900493.2194849473,3.0632600083818353,holt_winters,Total economically active level
1328806.1980238475,1128030.2725993188,4.107444548972282,holt_winters,Total in employment level
811805.4309427197,684993.55588216,38.19735004919385,holt_winters,Unemployed level
733982.6460215638,639179.5219308056,3.6578986385619983,holt_winters,Economically inactive level
0.8096816347635107,0.6083176733864576,0.9624005596661277,holt_winters,Economic activity rate
2.1448605257621938,1.773847497807597,3.0375838105043207,holt_winters,Employment rate
2.7458450616717647,2.288753224138679,36.042656706242525,holt_winters,Unemployment rate
0.8099703194494774,0.6073150860972689,1.6519296051096828,holt_winters,Economic inactivity rate
1440756.2768630383,1327547.3522512673,2.8302046230716327,xgboost,All aged 16 & over level
995056.6872443043,887430.2928744558,3.0246543469019005,xgboost,Total economically active level
1277652.5960612902,1047674.4110434154,3.8619368760161645,xgboost,Total in employment level
760672.741433063,618355.9202536592,33.636920453963356,xgboost,Unemployed level
641813.0030310507,572507.7368624487,3.326250923268988,xgboost,Economically inactive level
0.8129926600530828,0.6056769637272132,0.9582209121985055,xgboost,Economic activity rate
2.136986318100577,1.7707871748940562,3.032098479347501,xgboost,Employment rate
2.6733072700994915,2.1509283477997965,32.841615087550906,xgboost,Unemployment rate
0.8127427459359526,0.6058673970074406,1.647933516057973,xgboost,Economic inactivity rate
47015284.396988384,46830407.157481454,99.99999993376974,lstm,All aged 16 & over level
29701327.765550625,29576605.282587253,99.9999998036022,lstm,Total economically active level
27765685.04954067,27617661.590036977,99.9999996891049,lstm,Total in employment level
2061190.7480492778,1958946.6765505397,99.99999349432744,lstm,Unemployed level
17316592.86858565,17253793.893216368,99.99999917219085,lstm,Economically inactive level
62.930541936049146,62.92842004167183,99.6610426368566,lstm,Economic activity rate
58.63039163422484,58.605905337714,99.4664439356472,lstm,Employment rate
6.171777491682226,5.692179467827131,83.11483703647238,lstm,Unemployment rate
34.53691246927367,34.532934990769945,93.69175431099299,lstm,Economic inactivity rate
967047.2274513949,876270.8318203557,2.3517789089470074,linear_regression,All aged 16 to 64 level
887586.0168824834,773915.5035175435,2.714206700701769,linear_regression,Total economically active level
1121045.3798300724,908941.2255063842,3.4972604665085267,linear_regression,Total in employment level
636467.2264534509,548212.114549737,31.19082950138774,linear_regression,Unemployed level
273217.5907631321,206868.05303076876,2.411387040727465,linear_regression,Economically inactive level
0.7109530655426427,0.5699893128807313,0.743020458979442,linear_regression,Economic activity rate
2.0073301321965062,1.596249139800383,2.2715862499029544,linear_regression,Employment rate
2.308596006569679,1.920360245582863,29.842759446058565,linear_regression,Unemployment rate
0.710953065542643,0.5699893128807313,2.455803349029817,linear_regression,Economic inactivity rate
942577.8207095413,850577.2382882701,2.268027970050129,prophet,All aged 16 to 64 level
903511.9391480534,836184.1096911114,2.906603504119091,prophet,Total economically active level
1205283.5952775471,1044263.7812819451,3.90556241919288,prophet,Total in employment level
613251.3770222252,519678.17086492537,30.956653117541734,prophet,Unemployed level
359209.8206885133,287666.4676376807,3.3468076894122754,prophet,Economically inactive level
0.9942504824162014,0.7041137619974595,0.9198940892563034,prophet,Economic activity rate
2.626151680205559,2.164359074018046,3.0616163840752875,prophet,Employment rate
2.183266647990078,1.8307501010231597,30.000173021745102,prophet,Unemployment rate
0.9731765315824116,0.6923109504277561,2.9616357601166543,prophet,Economic inactivity rate
942401.8364639132,848302.2500553543,2.262627696691329,arima,All aged 16 to 64 level
881599.3728449459,782519.2754456444,2.742468056581433,arima,Total economically active level
1190138.1991949764,957318.9454981883,3.6305632544308026,arima,Total in employment level
758306.0168282458,619476.3355699985,34.012431414904334,arima,Unemployed level
395363.2863830425,325322.7315408973,3.7724717436661797,arima,Economically inactive level
1.0849319703638216,0.812602372259725,1.0582987382688045,arima,Economic activity rate
2.724349200086978,2.219572728631289,3.1379098002394175,arima,Employment rate
2.721568421268746,2.2090001174690848,33.567538678828086,arima,Unemployment rate
1.0843295761786556,0.8140115817504793,3.5212771469578588,arima,Economic inactivity rate
756467.4097842688,664766.6637090079,1.7765592427367232,sarima,All aged 16 to 64 level
735808.637172985,655031.8679928705,2.292294863070346,sarima,Total economically active level
1056423.8175111823,866127.5443891693,3.282842676935892,sarima,Total in employment level
758867.1743906847,619377.5574615988,33.977365135117886,sarima,Unemployed level
359915.5393284405,297842.20325710764,3.456581492191687,sarima,Economically inactive level
1.0780452012334294,0.8073175868860295,1.0516424666930686,sarima,Economic activity rate
2.698526821933529,2.1452809594625526,3.0391748290733815,sarima,Employment rate
2.749068506778096,2.2704813250177054,34.93694419875177,sarima,Unemployment rate
1.0777855979464803,0.8083813340229081,3.494070850232788,sarima,Economic inactivity rate
960851.2097413918,868842.7076760747,2.311530495552528,holt_winters,All aged 16 to 64 level
883751.0486840083,781412.1532065371,2.740135796512899,holt_winters,Total economically active level
1201793.9887065815,984186.1108860541,3.7170781175483842,holt_winters,Total in employment level
802705.6146506772,677828.5902614521,38.14790881284121,holt_winters,Unemployed level
463406.1278345979,379842.21819991263,4.372086629369111,holt_winters,Economically inactive level
1.1292618349651957,0.8478903654268318,1.1036075131278342,holt_winters,Economic activity rate
2.701607636760203,2.1492986374440646,3.0448106187293833,holt_winters,Employment rate
2.7805634066950775,2.314208597944196,35.960669169414835,holt_winters,Unemployment rate
1.1266683905156056,0.8472323642936761,3.6711730667813316,holt_winters,Economic inactivity rate
925634.1540382877,820172.8332961237,2.195865871873993,xgboost,All aged 16 to 64 level
882057.6332581644,780750.5308346385,2.737670524544441,xgboost,Total economically active level
1187978.8595872587,952155.8150140882,3.6140174268582586,xgboost,Total in employment level
757149.4981366211,615070.2186852768,33.76577386975652,xgboost,Unemployed level
400990.13871875586,331715.4644025654,3.8439877124643327,xgboost,Economically inactive level
1.0384575816907484,0.7531945917420946,0.9824148904220947,xgboost,Economic activity rate
2.6925911873370985,2.149301134618166,3.04431497351106,xgboost,Employment rate
2.7174855897863623,2.1869213680677464,33.0814310527482,xgboost,Unemployment rate
1.0407828023211314,0.7572974934468474,3.2602522959140505,xgboost,Economic inactivity rate
37693549.010361694,37594916.234139085,99.9999933033765,lstm,All aged 16 to 64 level
28996583.134153042,28895513.502269976,99.99999062815498,lstm,Total economically active level
27076456.697754215,26954828.257273126,99.99998923287208,lstm,Total in employment level
2043127.5877442197,1940677.3044333677,99.99982383624382,lstm,Unemployed level
8708738.574266154,8699364.91451523,99.99996247265759,lstm,Economically inactive level
72.68556212771092,72.67799872119215,94.6300895599964,lstm,Economic activity rate
66.8276299799774,66.78650627522305,93.26084687660983,lstm,Employment rate
2.7490802939267973,1.9997854228813978,25.618413831812504,lstm,Unemployment rate
17.212504870563368,17.180604573582087,74.00498021013324,lstm,Economic inactivity rate
